address,company,detail,position
北京,"
三一重工
",硕士以上 | 3年以上 | 全职,招商经理
北京,"
三一重工
",本科以上 | 5年以上 | 全职 | 18.0-24.0万元,智能算法工程师
长沙,"
三一重工
",本科以上 | 5年以上 | 全职 | 24.0-48.0万元,制造商务总监
北京,"
三一重工
",本科以上 | 3年以上 | 全职 | 19.5-39.0万元,测试工程师
苏州,"
三一重工
",1年以上 | 全职,工艺工程师
长沙,"
三一重工
",本科以上 | 8年以上 | 全职 | 18.0-30.0万元,大数据架构师
长沙,"
三一重工
",本科以上 | 全职 | 18.0-24.0万元,sap实施顾问
苏州,"
三一重工
",1年以上 | 全职,液压工程师
北京,"
三一重工
",本科以上 | 5年以上 | 全职 | 18.0-24.0万元,sap工程师
长沙,"
三一重工
",1年以上 | 全职 | 7.2-9.6万元,设备维修工
西安,"
大疆
",本科以上 | 1-3年 | 全职 | 4000-6000元,客服专员 助理
西安,"
大疆
",本科以上 | 3年以上 | 全职 | 9.6-14.4万元,助理技术服务主管
上海,"
大疆
",本科以上 | 5-10年 | 全职 | 25000-50000元,高级相机测试开发工程师
上海,"
大疆
",5-10年 | 全职 | 30000-60000元,高级嵌入式测试开发工程师
深圳,"
大疆
",本科以上 | 1年经验 | 全职 | 0.8-1.2万/月,销售助理
深圳,"
大疆
",硕士以上 | 3-5年 | 全职 | 20000-30000元,通信软件工程师
上海,"
大疆
",本科以上 | 3-5年 | 全职 | 20000-35000元,高级雷达测试工程师
深圳,"
大疆
",本科以上 | 2年以上 | 全职,数据分析师
深圳,"
大疆
",本科以上 | 3-5年 | 全职 | 15000-30000元,高级交互设计师
深圳,"
大疆
",本科以上 | 3年以上 | 全职,高级ios开发工程师
深圳,"
大疆
",本科以上 | 3-5年 | 全职 | 18000-36000元,android开发工程师
上海,"
大疆
",大专以上 | 3年以上 | 全职 | 6.0-9.6万元,旗舰店仓库管理员
深圳,"
大疆
",本科以上 | 2年以上 | 全职,招聘专员
深圳,"
大疆
",本科以上 | 3-5年 | 全职 | 15000-25000元,C++开发工程师
深圳,"
大疆
",本科以上 | 3-5年 | 全职 | 15000-25000元,后台开发工程师
上海,"
B站，哔哩哔哩
",本科以上 | 5年以上 | 全职 | 12.0-24.0万元,客户经理
上海,"
B站，哔哩哔哩
",本科以上 | 3年以上 | 全职 | 12.0-24.0万元,华东直客销售
上海,"
B站，哔哩哔哩
",本科以上 | 5年以上 | 全职 | 30.0-52.5万元,资深主播产品经理
上海,"
B站，哔哩哔哩
",全职,总裁办秘书
上海,"
B站，哔哩哔哩
",本科以上 | 3年以上 | 全职 | 24.0-36.0万元,电商内容与社区高级产品经理
上海,"
B站，哔哩哔哩
",本科以上 | 3-5年 | 全职 | 20000-35000元,大数据开发工程师
芜湖,"
B站，哔哩哔哩
",1-3年 | 全职 | 4000-8000元,部门培训师
芜湖,"
B站，哔哩哔哩
",3-5年 | 全职 | 5000-10000元,客服
上海,"
B站，哔哩哔哩
",本科以上 | 3-5年 | 全职 | 20000-40000元,算法工程师
上海,"
B站，哔哩哔哩
",本科以上 | 3-5年 | 全职 | 15000-22000元,测试工程师
芜湖,"
B站，哔哩哔哩
",全职 | 5000-8000元,审核组长
上海,"
B站，哔哩哔哩
",本科以上 | 3年以上 | 全职 | 15.0-30.0万元,活动运营
上海,"
B站，哔哩哔哩
",本科以上 | 3年以上 | 全职 | 15.0-30.0万元,流量运营
上海,"
B站，哔哩哔哩
",本科以上 | 3年以上 | 全职 | 24.0-48.0万元,移动端产品经理
上海,"
B站，哔哩哔哩
",本科以上 | 3-5年 | 全职 | 20000-40000元,ios开发工程师
广州,"
网易
",本科以上 | 1年以上 | 全职 | 9.6-15.6万元,海外广告优化师
广州,"
网易
",大专以上 | 1年以上 | 全职 | 18.0-36.0万元,广告销售
北京,"
网易
",本科以上 | 2年以上 | 全职 | 12.0-24.0万元,在线教育高中文科辅导老师负责人
东莞,"
网易
",本科以上 | 全职 | 1000-2000元,广告设计实习生
北京,"
网易
",本科以上 | 1-3年 | 全职 | 12000-16000元,内容运营
广州,"
网易
",本科以上 | 3年以上 | 全职 | 9.6-14.4万元,商品经理
上海,"
网易
",本科以上 | 2年以上 | 全职,视频内容策划
北京,"
网易
",0-2年 | 全职 | 30-60万,资深品牌策划
杭州,"
网易
",本科以上 | 全职 | 2000-3000元,HR实习生-杭州
杭州,"
网易
",本科以上 | 5-10年 | 全职 | 20000-30000元,社区运营总监
杭州,"
网易
",本科以上 | 5-10年 | 全职 | 20000-30000元,网红KOL运营
杭州,"
网易
",本科以上 | 3-5年 | 全职 | 20000-30000元,广告产品经理
杭州,"
网易
",大专以上 | 1-3年 | 全职 | 10000-20000元,APP视觉设计师
广州,"
网易
",大专以上 | 1年以下 | 实习 | 1000-2000元,综合服务专员助理
北京,"
网易
",本科以上 | 1年以上 | 全职 | 18.0-36.0万元,在线教育少儿产品推广经理
北京,"
字节跳动
",本科以上 | 5-7年工作经验 | 全职 | 4-6万/月,商业化产品运营负责人
北京,"
字节跳动
",本科以上 | 3-5年 | 全职 | 20000-40000元,高级测试开发-北京
北京,"
字节跳动
",本科以上 | 实习 | 3-6千/月,广告算法平台研发实习生
深圳,"
字节跳动
",本科以上 | 全职,信息流广告销售运营BP
北京,"
字节跳动
",本科以上 | 3年以上 | 全职,iOS开发高级工程师
北京,"
字节跳动
",本科以上 | 3-5年 | 全职 | 20000-35000元,内容运营-搜索方向
北京,"
字节跳动
",本科以上 | 1年以下 | 实习 | 5000-10000元,数据开发实习生
北京,"
字节跳动
",本科以上 | 3-5年 | 全职 | 15000-20000元,程序化销售经理
郑州,"
字节跳动
",大专以上 | 1-3年 | 全职 | 7000-10000元,广告优化师
乌鲁木齐,"
字节跳动
",大专以上 | 3年以上 | 全职,营销顾问
北京,"
字节跳动
",本科以上 | 3年以上 | 全职,资深流程优化
上海,"
字节跳动
",本科以上 | 3-5年 | 全职 | 15000-21000元,商业化—电销项目运营
北京,"
字节跳动
",本科以上 | 全职 | 30000-60000元,资深前端工程师-技术无感化方向
北京,"
字节跳动
",本科以上 | 3年以上 | 全职,资金综合主管
上海,"
字节跳动
",本科以上 | 3-5年 | 全职 | 25000-50000元,商业产品经理-AI 国际化
深圳,"
腾讯
",大专以上 | 1-3年 | 全职 | 6000-12000元,WEB前端开发 UI开发工程师
深圳,"
腾讯
",3-5年 | 全职 | 20000-35000元,知识图谱后台开发工程师
上海,"
腾讯
",本科以上 | 3-5年 | 全职 | 12000-20000元,腾竞体育-CEO助理
上海,"
腾讯
",本科以上 | 5-10年 | 全职 | 12000-20000元,腾竞体育-
深圳,"
腾讯
",本科以上 | 3-5年 | 全职 | 23000-46000元,18435-数据平台开发工程师
北京,"
腾讯
",本科以上 | 5-10年 | 全职 | 25000-50000元,23486-前端开发组长
深圳,"
腾讯
",本科以上 | 5-10年 | 全职 | 26000-52000元,28994-区块链中台开发工程师
深圳,"
腾讯
",本科以上 | 3-5年 | 全职 | 23000-46000元,18436-数据分析 挖掘高级工程师
深圳,"
腾讯
",本科以上 | 3-5年 | 全职 | 23000-46000元,国际业务部 高级数据分析工程师
深圳,"
腾讯
",本科以上 | 3-5年 | 全职 | 22000-40000元,国际业务部 后台开发工程师
深圳,"
腾讯
",5-10年 | 全职 | 23000-45000元,国际业务部 Android音视频开发工程
深圳,"
腾讯
",本科以上 | 5-10年 | 全职 | 18000-36000元,29910-营销创意策划
深圳,"
腾讯
",本科以上 | 全职 | 14000-28000元,波洞星球后台开发工程师
深圳,"
腾讯
",本科以上 | 5年以上 | 全职 | 18-25万,软件开发工程师
深圳,"
腾讯
",本科以上 | 5-10年 | 全职 | 18000-36000元,27087-市场营销经理
杭州,"
阿里
",本科以上 | 1年以下 | 全职 | 15000-30000元,阿里 Java社招&2019春季校招
北京,"
阿里
",本科以上 | 5-10年 | 全职 | 30000-50000元,java研发专家
北京,"
阿里
",本科以上 | 5-10年 | 全职 | 35000-55000元,区块链研发专家
北京,"
阿里
",本科以上 | 5-10年 | 全职 | 35000-55000元,区块链BaaS平台研发专家
北京,"
阿里
",本科以上 | 5-10年 | 全职 | 30000-50000元,DevOps
北京,"
阿里
",本科以上 | 5-10年 | 全职 | 35000-55000元,NLP高级算法
北京,"
阿里
",本科以上 | 5-10年 | 全职 | 35000-55000元,算法专家
北京,"
阿里
",本科以上 | 5-10年 | 全职 | 35000-60000元,JAVA开发专家
北京,"
阿里
",本科以上 | 5-10年 | 全职 | 30000-55000元,Android iOS开发专家
北京,"
阿里
",本科以上 | 5-10年 | 全职 | 35000-55000元,技术风险架构师
北京,"
阿里
",本科以上 | 5-10年 | 全职 | 35000-55000元,H5高级前端
北京,"
阿里
",本科以上 | 5-10年 | 全职 | 35000-55000元,测试开发专家
深圳,"
阿里
",本科以上 | 3-5年 | 全职 | 15000-30000元,测试开发专家
深圳,"
阿里
",1年以下 | 全职 | 25000-35000元,高级java开发工程师
杭州,"
阿里
",本科以上 | 3-5年 | 全职 | 18000-30000元,JAVA高级开发工程师 专家-支付宝-行业技术保障
西安,"
晔庆电子
",全职 | 0.4-1万/月,储备干部
西安,"
晔庆电子
",大专以上 | 全职 | 4-8千/月,销售顾问
西安,"
晔庆电子
",大专以上 | 实习 | 4-8千/月,销售实习生4000-6000年薪10万
西安,"
晔庆电子
",大专以上 | 实习 | 4-8千/月,管理实习生
西安,"
晔庆电子
",大专以上 | 全职 | 4-8千/月,客户代表
西安,"
晔庆电子
",大专以上 | 全职 | 3-6千/月,市场助理
西安,"
晔庆电子
",全职 | 4-7千/月,订单业务专员
西安,"
晔庆电子
",全职 | 3-5千/月,销售助理
西安,"
晔庆电子
",全职 | 3.6-8.6千/月,销售代表
西安,"
晔庆电子
",全职 | 6K-10K,1w高薪诚聘销售精英+五险+旅游+包住
西安,"
晔庆电子
",1-3年 | 全职 | 8K-10K,月薪上万外派员费用全包+旅游
西安,"
晔庆电子
",大专以上 | 全职 | 4-8千/月,市场推广专员市场分析
西安,"
晔庆电子
",大专以上 | 实习 | 3-8千/月,实习储备干部
西安,"
晔庆电子
",大专以上 | 实习 | 3-6千/月,应届实习生
西安,"
晔庆电子
",中专以上 | 全职 | 5K-10K,1W聘出差专员公费+旅游
西安,"
西安鼎力
",大专以上 | 3-4年经验 | 全职 | 1-1.5万/月,C++开发工程师
南京,"
西安鼎力
",本科以上 | 3-4年经验 | 全职 | 0.8-1.6万/月,Java开发工程师
西安,"
西安鼎力
",本科以上 | 1-3年 | 全职 | 5000-10000元,全栈工程师
西安,"
力成半导体
",本科以上 | 2年工作经验 | 全职,PQE工程师
西安,"
力成半导体
",大专以上 | 全职 | 3-4.5千/月,设备技术师
西安,"
力成半导体
",高中以上 | 全职,生产技术员
西安,"
力成半导体
",3-4年工作经验 | 全职,工艺工程师
西安,"
力成半导体
",3-5年 | 全职,厂务值班工程师
西安,"
诺瓦电子
",本科以上 | 5-7年经验 | 全职 | 1-1.5万/月,硬件测试工程师
西安,"
诺瓦电子
",本科以上 | 2年经验 | 全职 | 1-2万/月,销售经理 销售工程师
西安,"
诺瓦电子
",本科以上 | 3年以上 | 全职 | 7.2-12.0万元,海外销售工程师
西安,"
诺瓦电子
",大专以上 | 1年经验 | 全职 | 0.7-1万/月,销售工程师
西安,"
诺瓦电子
",本科以上 | 4年以上 | 全职,高级嵌入式开发工程师
深圳,"
诺瓦电子
",全职 | 0.6-1.5万/月,售后工程师
西安,"
诺瓦电子
",本科以上 | 2年经验 | 全职 | 1-1.6万/月,技术支持工程师 FAE
西安,"
诺瓦电子
",本科以上 | 1年以上 | 全职 | 8.4-10.8万元,国际部技术支持工程师
西安,"
诺瓦电子
",本科以上 | 1年经验 | 全职 | 5-8千/月,平面设计师
深圳,"
诺瓦电子
",大专以上 | 全职 | 7.2-9.6万元,人事行政专员深圳
西安,"
诺瓦电子
",全职 | 5-8千/月,助理专利工程师
深圳,"
诺瓦电子
",大专以上 | 1年以上 | 全职 | 7.2-9.6万元,销售经理销售工程师
西安,"
诺瓦电子
",本科以上 | 全职 | 8000-13000,专利工程师
西安,"
诺瓦电子
",本科以上 | 5年以上 | 全职,测试经理
西安,"
诺瓦电子
",本科以上 | 8年以上 | 全职 | 9.6-12.0万元,会计主管
西安,"
立明电子
",3-4年经验 | 全职 | 2-3千/月,司机
西安,"
立明电子
",本科以上 | 5-7年经验 | 全职 | 4-8千/月,硬件工程师
西安,"
立明电子
",全职 | 2-3千/月,门卫
汉中,"
陕西云德
",本科以上 | 1-3年 | 全职 | 2K-4K,财务专员
宝鸡,"
陕西云德
",本科以上 | 1-3年 | 全职 | 2K-4K,财务专员
上海,"
联合汽车电子
",本科以上 | 实习 | 90元/天,销售部实习生
上海,"
联合汽车电子
",本科以上 | 3-4年工作经验 | 全职 | 0.8-1万/月,销售工程师
上海,"
联合汽车电子
",实习,物流部实习生 销售部实习生
重庆,"
联合汽车电子
",全职 | 0.7-1.2万/月,软件测试工程师
柳州,"
联合汽车电子
",本科以上 | 2年经验 | 全职 | 0.8-1万/月,测试工程师
苏州,"
联合汽车电子
",本科以上 | 5-7年经验 | 全职 | 0.8-1万/月,设备工程师
柳州,"
联合汽车电子
",本科以上 | 2年经验 | 全职 | 0.8-1万/月,设备工程师
苏州,"
联合汽车电子
",本科以上 | 全职 | 15-20万/年,工艺工程师
柳州,"
联合汽车电子
",中专以上 | 3-4年经验 | 全职 | 4.5-6千/月,试验准备技师
苏州,"
联合汽车电子
",本科以上 | 2年工作经验 | 全职 | 1-1.5万/月,生产主管
柳州,"
联合汽车电子
",本科以上 | 2年经验 | 全职 | 0.8-1万/月,生产主管
芜湖,"
联合汽车电子
",本科以上 | 3-4年经验 | 全职 | 10-15万/年,生产主管
无锡,"
联合汽车电子
",本科以上 | 3-4年经验 | 全职 | 15-20万/年,生产计划专员
柳州,"
联合汽车电子
",本科以上 | 3-4年经验 | 全职 | 6-8千/月,供应商质量工程师
苏州,"
联合汽车电子
",本科以上 | 2年经验 | 全职 | 0.8-1万/月,制造业IT工程师
